filename,prediction,label,corrected_label,is_error,use_for_training,reviewed,notes,updated_at
captcha_001.gif,g4f4,g4f4,g4f4,False,True,True,,2026-05-12 22:11:08
captcha_002.gif,cr7m,cr7m,cr7m,False,True,True,,2026-05-12 22:11:08
captcha_003.gif,crc2,crg2,crc2,False,True,True,crc2,2026-05-12 22:11:08
captcha_004.gif,ej7v,ejtv,ej7v,False,True,True,ej7v,2026-05-12 22:11:08
captcha_005.gif,crg2,crg2,crg2,False,True,True,,2026-05-12 22:11:08
captcha_006.gif,cehg,cehg,cehg,False,True,True,,2026-05-12 22:11:08
captcha_007.gif,ybqf,ybqf,ybqf,False,True,True,,2026-05-12 22:11:08
captcha_008.gif,c9m7,c9m7,c9m7,False,True,True,,2026-05-12 22:11:08
captcha_009.gif,fbbf,fbbf,fbbf,False,True,True,,2026-05-12 22:11:08
captcha_010.gif,ewx9,ewh9,ewx9,False,True,True,,2026-05-12 22:11:08
captcha_011.gif,cgey,cgey,cgey,False,True,True,,2026-05-12 22:11:08
captcha_012.gif,ekrf,ekrf,ekrf,False,True,True,,2026-05-12 22:11:08
captcha_013.gif,ecqm,ecqm,ecqm,False,True,True,,2026-05-12 22:11:08
captcha_014.gif,67rt,67rt,67rt,False,True,True,,2026-05-12 22:11:08
captcha_015.gif,eyfb,eyfb,eyfb,False,True,True,,2026-05-12 22:11:08
captcha_016.gif,eyq6,eyd6,eyq6,False,True,True,,2026-05-12 22:11:08
captcha_017.gif,h72w,h72w,h72w,False,True,True,,2026-05-12 22:11:08
captcha_018.gif,eg2k,eg2k,eg2k,False,True,True,,2026-05-12 22:11:08
captcha_019.gif,c7bf,cjbf,c7bf,False,True,True,,2026-05-12 22:11:08
captcha_020.gif,eyfw,eyfw,eyfw,False,True,True,,2026-05-12 22:11:08
captcha_021.gif,ebmv,ebmy,ebmv,False,True,True,,2026-05-12 22:11:08
captcha_022.gif,6ykc,6ykc,6ykc,False,True,True,,2026-05-12 22:11:08
captcha_023.gif,c8hc,c8hg,c8hc,False,True,True,,2026-05-12 22:11:08
captcha_024.gif,cfwj,cfhj,cfwj,False,True,True,,2026-05-12 22:11:08
captcha_025.gif,eyqr,eydr,eyqr,False,True,True,,2026-05-12 22:11:08
captcha_026.gif,ex4q,eh4q,ex4q,False,True,True,,2026-05-12 22:11:08
captcha_027.gif,cmrr,cmrr,cmrr,False,True,True,,2026-05-12 22:11:08
captcha_028.gif,c7hf,c7hf,c7hf,False,True,True,,2026-05-12 22:11:08
captcha_029.gif,et8f,et8f,et8f,False,True,True,,2026-05-12 22:11:08
captcha_030.gif,yhf9,yhf9,yhf9,False,True,True,,2026-05-12 22:11:08
captcha_031.gif,ex2x,ex2h,ex2x,False,True,True,,2026-05-12 22:11:08
captcha_032.gif,ch9t,ch9t,ch9t,False,True,True,,2026-05-12 22:11:08
captcha_033.gif,epy7,epy7,epy7,False,True,True,,2026-05-12 22:11:08
captcha_034.gif,jpfm,jpfm,jpfm,False,True,True,,2026-05-12 22:11:08
captcha_035.gif,6kgy,6kgy,6kgy,False,True,True,,2026-05-12 22:11:08
captcha_036.gif,ejpm,ejpm,ejpm,False,True,True,,2026-05-12 22:11:08
captcha_037.gif,43vq,43vq,43vq,False,True,True,,2026-05-12 22:11:08
captcha_038.gif,crgb,cr6b,crgb,False,True,True,,2026-05-12 22:11:08
captcha_039.gif,c48k,c48k,c48k,False,True,True,,2026-05-12 22:11:08
captcha_040.gif,crbb,crbb,crbb,False,True,True,,2026-05-12 22:11:08
captcha_041.gif,egkf,egkf,egkf,False,True,True,,2026-05-12 22:11:08
captcha_042.gif,e4cw,e4ch,e4cw,False,True,True,,2026-05-12 22:11:08
captcha_043.gif,k6mr,k6mr,k6mr,False,True,True,,2026-05-12 22:11:08
captcha_044.gif,c7kj,c7kj,c7kj,False,True,True,,2026-05-12 22:11:08
captcha_045.gif,ehtw,ehth,ehtw,False,True,True,,2026-05-12 22:11:08
captcha_046.gif,c6j9,c6j9,c6j9,False,True,True,,2026-05-12 22:11:08
captcha_047.gif,cb9y,cb9y,cb9y,False,True,True,,2026-05-12 22:11:08
captcha_048.gif,24mw,24mw,24mw,False,True,True,,2026-05-12 22:11:09
captcha_049.gif,eq6e,eq6e,eq6e,False,True,True,,2026-05-12 22:11:09
captcha_050.gif,e9c7,e9c7,e9c7,False,True,True,,2026-05-12 22:11:09
